+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU0800000003 | 2024 |  M02   | 34.52 | preliminary |
| CEU0800000003 | 2024 |  M01   | 34.57 | preliminary |
| CEU0800000003 | 2023 |  M12   | 34.09 |             |
| CEU0800000003 | 2023 |  M11   | 33.93 |             |
| CEU0800000003 | 2023 |  M10   | 34.16 |             |
| CEU0800000003 | 2023 |  M09   | 33.82 |             |
| CEU0800000003 | 2023 |  M08   | 33.58 |             |
| CEU0800000003 | 2023 |  M07   | 33.82 |             |
| CEU0800000003 | 2023 |  M06   | 33.31 |             |
| CEU0800000003 | 2023 |  M05   | 33.36 |             |
| CEU0800000003 | 2023 |  M04   | 33.75 |             |
| CEU0800000003 | 2023 |  M03   | 33.22 |             |
| CEU0800000003 | 2023 |  M02   | 33.18 |             |
| CEU0800000003 | 2023 |  M01   | 33.40 |             |
| CEU0800000003 | 2022 |  M12   | 32.80 |             |
| CEU0800000003 | 2022 |  M11   | 32.65 |             |
| CEU0800000003 | 2022 |  M10   | 32.83 |             |
| CEU0800000003 | 2022 |  M09   | 32.42 |             |
| CEU0800000003 | 2022 |  M08   | 32.17 |             |
| CEU0800000003 | 2022 |  M07   | 32.11 |             |
| CEU0800000003 | 2022 |  M06   | 31.85 |             |
| CEU0800000003 | 2022 |  M05   | 32.19 |             |
| CEU0800000003 | 2022 |  M04   | 32.00 |             |
| CEU0800000003 | 2022 |  M03   | 31.77 |             |
| CEU0800000003 | 2022 |  M02   | 31.69 |             |
| CEU0800000003 | 2022 |  M01   | 31.95 |             |
| CEU0800000003 | 2021 |  M12   | 31.23 |             |
| CEU0800000003 | 2021 |  M11   | 31.04 |             |
| CEU0800000003 | 2021 |  M10   | 30.99 |             |
| CEU0800000003 | 2021 |  M09   | 30.78 |             |
| CEU0800000003 | 2021 |  M08   | 30.71 |             |
| CEU0800000003 | 2021 |  M07   | 30.36 |             |
| CEU0800000003 | 2021 |  M06   | 30.15 |             |
| CEU0800000003 | 2021 |  M05   | 30.44 |             |
| CEU0800000003 | 2021 |  M04   | 30.21 |             |
| CEU0800000003 | 2021 |  M03   | 29.95 |             |
| CEU0800000003 | 2021 |  M02   | 30.08 |             |
| CEU0800000003 | 2021 |  M01   | 29.99 |             |
| CEU0800000003 | 2020 |  M12   | 29.71 |             |
| CEU0800000003 | 2020 |  M11   | 29.65 |             |
| CEU0800000003 | 2020 |  M10   | 29.32 |             |
| CEU0800000003 | 2020 |  M09   | 29.29 |             |
| CEU0800000003 | 2020 |  M08   | 29.35 |             |
| CEU0800000003 | 2020 |  M07   | 29.03 |             |
| CEU0800000003 | 2020 |  M06   | 28.94 |             |
| CEU0800000003 | 2020 |  M05   | 29.54 |             |
| CEU0800000003 | 2020 |  M04   | 30.08 |             |
| CEU0800000003 | 2020 |  M03   | 28.73 |             |
| CEU0800000003 | 2020 |  M02   | 28.63 |             |
| CEU0800000003 | 2020 |  M01   | 28.34 |             |
+---------------+------+--------+-------+-------------+
