+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU5051320001 | 2024 |  M01   | 645.0 | preliminary |
| CEU5051320001 | 2023 |  M12   | 653.0 |             |
| CEU5051320001 | 2023 |  M11   | 648.5 |             |
| CEU5051320001 | 2023 |  M10   | 649.6 |             |
| CEU5051320001 | 2023 |  M09   | 667.2 |             |
| CEU5051320001 | 2023 |  M08   | 659.6 |             |
| CEU5051320001 | 2023 |  M07   | 658.8 |             |
| CEU5051320001 | 2023 |  M06   | 666.6 |             |
| CEU5051320001 | 2023 |  M05   | 650.2 |             |
| CEU5051320001 | 2023 |  M04   | 654.7 |             |
| CEU5051320001 | 2023 |  M03   | 655.0 |             |
| CEU5051320001 | 2023 |  M02   | 655.2 |             |
| CEU5051320001 | 2023 |  M01   | 653.2 |             |
| CEU5051320001 | 2022 |  M12   | 665.5 |             |
| CEU5051320001 | 2022 |  M11   | 664.9 |             |
| CEU5051320001 | 2022 |  M10   | 656.5 |             |
| CEU5051320001 | 2022 |  M09   | 660.2 |             |
| CEU5051320001 | 2022 |  M08   | 658.3 |             |
| CEU5051320001 | 2022 |  M07   | 653.6 |             |
| CEU5051320001 | 2022 |  M06   | 648.6 |             |
| CEU5051320001 | 2022 |  M05   | 626.7 |             |
| CEU5051320001 | 2022 |  M04   | 624.3 |             |
| CEU5051320001 | 2022 |  M03   | 618.6 |             |
| CEU5051320001 | 2022 |  M02   | 606.1 |             |
| CEU5051320001 | 2022 |  M01   | 602.0 |             |
| CEU5051320001 | 2021 |  M12   | 598.1 |             |
| CEU5051320001 | 2021 |  M11   | 587.9 |             |
| CEU5051320001 | 2021 |  M10   | 577.5 |             |
| CEU5051320001 | 2021 |  M09   | 570.1 |             |
| CEU5051320001 | 2021 |  M08   | 571.9 |             |
| CEU5051320001 | 2021 |  M07   | 565.5 |             |
| CEU5051320001 | 2021 |  M06   | 560.1 |             |
| CEU5051320001 | 2021 |  M05   | 547.2 |             |
| CEU5051320001 | 2021 |  M04   | 539.8 |             |
| CEU5051320001 | 2021 |  M03   | 535.7 |             |
| CEU5051320001 | 2021 |  M02   | 529.0 |             |
| CEU5051320001 | 2021 |  M01   | 527.3 |             |
| CEU5051320001 | 2020 |  M12   | 523.1 |             |
| CEU5051320001 | 2020 |  M11   | 517.1 |             |
| CEU5051320001 | 2020 |  M10   | 512.8 |             |
| CEU5051320001 | 2020 |  M09   | 512.0 |             |
| CEU5051320001 | 2020 |  M08   | 506.0 |             |
| CEU5051320001 | 2020 |  M07   | 500.4 |             |
| CEU5051320001 | 2020 |  M06   | 499.0 |             |
| CEU5051320001 | 2020 |  M05   | 492.9 |             |
| CEU5051320001 | 2020 |  M04   | 495.2 |             |
| CEU5051320001 | 2020 |  M03   | 502.8 |             |
| CEU5051320001 | 2020 |  M02   | 499.3 |             |
| CEU5051320001 | 2020 |  M01   | 492.6 |             |
| CEU5051320001 | 2019 |  M12   | 487.9 |             |
| CEU5051320001 | 2019 |  M11   | 487.4 |             |
| CEU5051320001 | 2019 |  M10   | 482.2 |             |
| CEU5051320001 | 2019 |  M09   | 482.5 |             |
| CEU5051320001 | 2019 |  M08   | 479.1 |             |
| CEU5051320001 | 2019 |  M07   | 474.4 |             |
| CEU5051320001 | 2019 |  M06   | 467.2 |             |
| CEU5051320001 | 2019 |  M05   | 454.9 |             |
| CEU5051320001 | 2019 |  M04   | 448.8 |             |
| CEU5051320001 | 2019 |  M03   | 445.5 |             |
| CEU5051320001 | 2019 |  M02   | 442.5 |             |
| CEU5051320001 | 2019 |  M01   | 440.1 |             |
| CEU5051320001 | 2018 |  M12   | 438.1 |             |
| CEU5051320001 | 2018 |  M11   | 435.7 |             |
| CEU5051320001 | 2018 |  M10   | 429.6 |             |
| CEU5051320001 | 2018 |  M09   | 428.7 |             |
| CEU5051320001 | 2018 |  M08   | 427.4 |             |
| CEU5051320001 | 2018 |  M07   | 422.3 |             |
| CEU5051320001 | 2018 |  M06   | 415.7 |             |
| CEU5051320001 | 2018 |  M05   | 405.2 |             |
| CEU5051320001 | 2018 |  M04   | 400.6 |             |
| CEU5051320001 | 2018 |  M03   | 399.1 |             |
| CEU5051320001 | 2018 |  M02   | 397.9 |             |
| CEU5051320001 | 2018 |  M01   | 395.4 |             |
| CEU5051320001 | 2017 |  M12   | 393.4 |             |
| CEU5051320001 | 2017 |  M11   | 392.3 |             |
| CEU5051320001 | 2017 |  M10   | 390.6 |             |
| CEU5051320001 | 2017 |  M09   | 387.7 |             |
| CEU5051320001 | 2017 |  M08   | 388.4 |             |
| CEU5051320001 | 2017 |  M07   | 386.1 |             |
| CEU5051320001 | 2017 |  M06   | 379.9 |             |
| CEU5051320001 | 2017 |  M05   | 373.3 |             |
| CEU5051320001 | 2017 |  M04   | 370.9 |             |
| CEU5051320001 | 2017 |  M03   | 370.4 |             |
| CEU5051320001 | 2017 |  M02   | 371.5 |             |
| CEU5051320001 | 2017 |  M01   | 370.1 |             |
| CEU5051320001 | 2016 |  M12   | 371.5 |             |
| CEU5051320001 | 2016 |  M11   | 366.8 |             |
| CEU5051320001 | 2016 |  M10   | 366.3 |             |
| CEU5051320001 | 2016 |  M09   | 365.1 |             |
| CEU5051320001 | 2016 |  M08   | 367.7 |             |
| CEU5051320001 | 2016 |  M07   | 363.7 |             |
| CEU5051320001 | 2016 |  M06   | 357.1 |             |
| CEU5051320001 | 2016 |  M05   | 351.4 |             |
| CEU5051320001 | 2016 |  M04   | 351.7 |             |
| CEU5051320001 | 2016 |  M03   | 349.6 |             |
| CEU5051320001 | 2016 |  M02   | 347.7 |             |
| CEU5051320001 | 2016 |  M01   | 347.0 |             |
+---------------+------+--------+-------+-------------+
