+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU5051320001 | 2024 |  M01   | 645.0 | preliminary |
| CEU5051320001 | 2023 |  M12   | 653.0 |             |
| CEU5051320001 | 2023 |  M11   | 648.5 |             |
| CEU5051320001 | 2023 |  M10   | 649.6 |             |
| CEU5051320001 | 2023 |  M09   | 667.2 |             |
| CEU5051320001 | 2023 |  M08   | 659.6 |             |
| CEU5051320001 | 2023 |  M07   | 658.8 |             |
| CEU5051320001 | 2023 |  M06   | 666.6 |             |
| CEU5051320001 | 2023 |  M05   | 650.2 |             |
| CEU5051320001 | 2023 |  M04   | 654.7 |             |
| CEU5051320001 | 2023 |  M03   | 655.0 |             |
| CEU5051320001 | 2023 |  M02   | 655.2 |             |
| CEU5051320001 | 2023 |  M01   | 653.2 |             |
| CEU5051320001 | 2022 |  M12   | 665.5 |             |
| CEU5051320001 | 2022 |  M11   | 664.9 |             |
| CEU5051320001 | 2022 |  M10   | 656.5 |             |
| CEU5051320001 | 2022 |  M09   | 660.2 |             |
| CEU5051320001 | 2022 |  M08   | 658.3 |             |
| CEU5051320001 | 2022 |  M07   | 653.6 |             |
| CEU5051320001 | 2022 |  M06   | 648.6 |             |
| CEU5051320001 | 2022 |  M05   | 626.7 |             |
| CEU5051320001 | 2022 |  M04   | 624.3 |             |
| CEU5051320001 | 2022 |  M03   | 618.6 |             |
| CEU5051320001 | 2022 |  M02   | 606.1 |             |
| CEU5051320001 | 2022 |  M01   | 602.0 |             |
| CEU5051320001 | 2021 |  M12   | 598.1 |             |
| CEU5051320001 | 2021 |  M11   | 587.9 |             |
| CEU5051320001 | 2021 |  M10   | 577.5 |             |
| CEU5051320001 | 2021 |  M09   | 570.1 |             |
| CEU5051320001 | 2021 |  M08   | 571.9 |             |
| CEU5051320001 | 2021 |  M07   | 565.5 |             |
| CEU5051320001 | 2021 |  M06   | 560.1 |             |
| CEU5051320001 | 2021 |  M05   | 547.2 |             |
| CEU5051320001 | 2021 |  M04   | 539.8 |             |
| CEU5051320001 | 2021 |  M03   | 535.7 |             |
| CEU5051320001 | 2021 |  M02   | 529.0 |             |
| CEU5051320001 | 2021 |  M01   | 527.3 |             |
| CEU5051320001 | 2020 |  M12   | 523.1 |             |
| CEU5051320001 | 2020 |  M11   | 517.1 |             |
| CEU5051320001 | 2020 |  M10   | 512.8 |             |
| CEU5051320001 | 2020 |  M09   | 512.0 |             |
| CEU5051320001 | 2020 |  M08   | 506.0 |             |
| CEU5051320001 | 2020 |  M07   | 500.4 |             |
| CEU5051320001 | 2020 |  M06   | 499.0 |             |
| CEU5051320001 | 2020 |  M05   | 492.9 |             |
| CEU5051320001 | 2020 |  M04   | 495.2 |             |
| CEU5051320001 | 2020 |  M03   | 502.8 |             |
| CEU5051320001 | 2020 |  M02   | 499.3 |             |
| CEU5051320001 | 2020 |  M01   | 492.6 |             |
+---------------+------+--------+-------+-------------+
